a gphpoovphvsgclhhsvgcsghhchpcvgcssshphlgv
b yjoyqjllqjyqolooqfyoljjlfqfjjqyqlj
c hpklllhkxgvgphxkvgplxghhvgpghgvhhlglllggkxvxhll
d fcfggvffkvkkfkfvcgvkvgvv
e xxxx
f evpsxeeevpvxxvsxpspvp
g heheeheehelevevhvleevhve
h lvvxvxlxxxxxlxx
i uqsquqduuquosouosdsdduuuddq
j xgglqgxoxqqxxqoggqqlxoqgqqqoxqhg
k fxllfxfplffpfxpfpxsspflxlsss
l 
m 
n fhggjvttbgvufehxgfvveageeadbhbdjubxhhxbjhxededdahuuabugfxeuu
o kvhhhkvhkvkhkkhk
p lxxxxxxlxll
q eevcvkfccvkeufckevvvvvkvukvek
r uuxebuexobfxfedfoxsfdeuefcuoccbxiddefbocydiexuffueodeybufsiuic
s lllll
t xgugjjgxxdxxdujogugxujojdo
u skhxxxkvxvxvxxkskxskkk
v ssxxsxsss
w jkkavxtavotyajjypccjjyvyyycoqyovapqttplpjpddjodvttpvxqcpqcayjtjxygvyxoqyogl
x lllll
y ealatslojtsqaegjesajstlagjejqeeelaejggaglsqgtgloqqgtq
z nivwqcnpwiwiphqwphwprpcrchqipnhiunriqviiprurcnhwnp
