a nsqocccqncqocsssqosqqsqnqnssonoco
b 
c oobopppopbpoppobobopoo
d 
e wpwquuystgusgwtjdygdtngwdngpdgpguipnunqjudunsiswuwiyrtjqswpyjuwpnnyiqsdytqgr
f bwjwjtnwdwstwydbpjjyjnjbyrdrnrytdssyptdcpysptycsnjcybctptnysrnjryocrpodwj
g yybmbbcnysbcnssssbdsdpcmmcympsspnppbqsbymmbsdbsdybmybdbpqqpmmqdm
h ilzljbviwljmcsmvvszswamejvlzmcwjbvzcevcwijbmcciblabawvcjsslsimicalmslcce
i gygggygyyorgwjrjyrdduuogwojuwuyjudwdrdoowryydgwoywgddwwju
j yyuudcycyqbqmodobccpuyoybyybppmmqqdbooudouopddcdqqyyo
k nnrggtsstgotwwmurwnnnruiomruosntgnsgrwssriggsounuwnnrnwtsgwuingr
l kywuufsnsawrwzaopfnyywrpuwpozyanonorwzwwofrjzkasakzwjayawuwasuyorzufuposknzsjnnfs
m cqrqcrbbrboortrcrrocorocccqbrtbcbct
n pptpcccpdddbbctbpbdppbttpbqpddpdtcp
o ppppbdqpdqdqppqdbqbpdpbqbbd
p qwwqqwwqqqwwwqw
q wwww
r cwwcocwwwqcppcpopppccoowqqcoccqo
s oottoqqqcooqtqctcqotooqtoqoqq
t oqobccbqobqoocqcooqcbqbqobbq
u tbstyysgqqsybsyybbsgqgbsygbtqggtqssyyssbtybgg
v rtcnntstsrstrmsdsrrdmdsdsdrnndnmctdcnststscd
w ddddddd
x cvvooscgynmywwbnvmyowbscqcnwcnwvbqqqkbkdqnbbcssoobnnkbybqnqwbgkcwwnwsosmscogygdkck
y pwdtdbppbbccctpbtbbdtdpppcwtbcwpwpbcddwt
z uynninnuinxdkduqyodkioydnxynyakokddukxduqnoxaonxiiiddauxxduiyddikxxqa
